INSTANCE;LABEL;BID;MID;ASK;SYNTHETIC;MDS_CHAIN_ORDER;MDS_DATE;SPOT_LABEL;SPOT_BID;SPOT_MID;SPOT_ASK;UPFRONT_BID;UPFRONT_MID;UPFRONT_ASK;QUOTE_BID;QUOTE_MID;QUOTE_ASK;MARKING_METHOD;USER_SPREAD_IND;RUNNING_COUPON;QUOTE_RECOVERY
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;niedziela, 29 styczeÄ 2012;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;error;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1,54;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;sty.56;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;error;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
