INSTANCE;LABEL;BID;MID;ASK;SYNTHETIC;MDS_CHAIN_ORDER;MDS_DATE;SPOT_LABEL;SPOT_BID;SPOT_MID;SPOT_ASK;UPFRONT_BID;UPFRONT_MID;UPFRONT_ASK;QUOTE_BID;QUOTE_MID;QUOTE_ASK;MARKING_METHOD;USER_SPREAD_IND;RUNNING_COUPON;QUOTE_RECOVERY
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;13.01.2022;1.0;1.0;1.0;1;1;01.13.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;14.01.2022;1.0;1.0;1.0;1;1;01.13.2023;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;15.01.2022;1.0;1.0;1.0;1;1;01.13.2024;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;16.01.2022;1.0;1.0;1.0;1;1;01.13.2025;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;17.01.2022;1.0;1.0;1.0;1;1;01.13.2026;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;18.01.2022;1.0;1.0;1.0;1;1;01.13.2027;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;19.01.2022;1.0;1.0;1.0;1;1;01.13.2028;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;20.01.2022;1.0;1.0;1.0;1;1;01.13.2029;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;21.01.2022;1.0;1.0;1.0;1;1;01.13.2030;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;22.01.2022;1.0;1.0;1.0;1;1;01.13.2031;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
example;01.01.2022;1.0;1.0;1.0;1;1;01.01.2022;example;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;example;1;1.0;1.0
